,timestamp,humidity,temperature,grim_voltage,grim_current,load_cell_voltage,load_cell_current,bat_voltage,bat_current
143,13598154,39.419921875,22.219999313354492,3266.25,20.0,5002.5,65.0,8000.0,412.5
144,13599154,39.005859375,22.209999084472656,3265.0,21.25,5002.5,63.75,7980.0,430.0
145,13600154,39.60546875,22.229999542236328,3266.25,21.25,5002.5,65.0,7976.25,423.75
146,13601154,39.953125,22.260000228881836,3266.25,23.75,5003.75,65.0,7992.5,495.0
147,13602154,40.701171875,22.270000457763672,3258.75,36.25,5003.75,82.5,7992.5,462.5
148,13603154,40.810546875,22.09000015258789,3265.0,21.25,5003.75,66.25,7993.75,423.75
149,13604154,40.921875,22.15999984741211,3265.0,21.25,5002.5,63.75,8000.0,426.25
150,13605154,41.5576171875,22.079999923706055,3266.25,21.25,5002.5,65.0,7986.25,452.5
151,13606154,41.9892578125,22.149999618530273,3261.25,27.5,5003.75,63.75,7976.25,405.0
152,13607154,41.310546875,22.139999389648438,3263.75,27.5,5005.0,83.75,7957.5,515.0
153,13608154,42.3759765625,22.110000610351562,3263.75,22.5,5003.75,82.5,7991.25,533.75
154,13609154,42.662109375,21.860000610351562,3265.0,42.5,5005.0,63.75,7993.75,407.5
155,13610154,42.65234375,22.110000610351562,3265.0,20.0,5001.25,66.25,8001.25,421.25
156,13611154,42.734375,22.1299991607666,3263.75,21.25,5003.75,62.5,8000.0,421.25
157,13612154,42.7119140625,22.139999389648438,3265.0,21.25,5003.75,85.0,7997.5,417.5
158,13613154,42.998046875,22.1299991607666,3265.0,21.25,5003.75,65.0,7965.0,488.75
159,13614154,42.8388671875,22.149999618530273,3265.0,20.0,5005.0,63.75,7998.75,462.5
160,13615154,42.8076171875,21.950000762939453,3258.75,32.5,5003.75,65.0,8001.25,450.0
161,13616154,44.1123046875,22.1299991607666,3263.75,27.5,5003.75,65.0,7988.75,390.0
162,13617154,44.365234375,22.1299991607666,3265.0,18.75,5003.75,66.25,7987.5,411.25
163,13618154,43.8837890625,22.139999389648438,3266.25,17.5,5003.75,65.0,7997.5,451.25
164,13619154,44.3974609375,22.1200008392334,3265.0,20.0,5003.75,83.75,7983.75,467.5
165,13620154,44.8798828125,22.110000610351562,3266.25,20.0,5003.75,65.0,7976.25,457.5
166,13621154,45.0234375,21.940000534057617,3261.25,22.5,5002.5,65.0,7998.75,485.0
167,13622154,45.4306640625,22.1200008392334,3258.75,32.5,5003.75,66.25,7993.75,421.25
168,13623154,45.412109375,22.040000915527344,3263.75,26.25,5002.5,85.0,7978.75,402.5
169,13624154,45.7900390625,22.040000915527344,3266.25,21.25,5003.75,85.0,7993.75,416.25
170,13625154,46.2958984375,22.040000915527344,3257.5,35.0,5002.5,65.0,7976.25,408.75
171,13626154,46.6142578125,22.020000457763672,3266.25,17.5,5002.5,65.0,7971.25,422.5
172,13627154,47.2177734375,21.760000228881836,3265.0,22.5,5003.75,65.0,7993.75,420.0
173,13628154,46.81640625,21.979999542236328,3261.25,22.5,5005.0,85.0,7993.75,482.5
174,13629154,47.1416015625,22.010000228881836,3265.0,22.5,5002.5,85.0,7990.0,405.0
175,13630154,47.5390625,21.979999542236328,3263.75,25.0,5002.5,65.0,7972.5,431.25
176,13631154,48.4296875,21.940000534057617,3266.25,20.0,5002.5,65.0,7996.25,443.75
177,13632154,48.072265625,21.93000030517578,3265.0,28.75,5002.5,65.0,7992.5,408.75
178,13633154,48.14453125,21.739999771118164,3266.25,21.25,5003.75,82.5,7981.25,421.25
179,13634154,48.65625,21.920000076293945,3267.5,21.25,5003.75,63.75,7987.5,446.25
